EmployeeID,Employee Name ,OfficeState,DeviceType,EligibleForPromotion,RepeatHire,Organization,Department,BaseSalaryUSD,VacationHoursBalance,EmployeeRating,CurrentPeriodHours,PriorPeriodHours,PerformanceRating,NumberOfPreviousJobs,DaysSinceVacation,StartMonth,StartWeek,EmployeeTenure,Still Employed
au59622,Auberta Cobain,PA,-,no,no,IT,Software Development,106850,18,1,183.1,207.6,12.9,2,152,Dec,W49,100,Yes
au73437,Fallon Allison,AR,-,no,no,IT,Software Development,149100,21,1,289.3,250.7,9.8,9,102,Jul,W31,128,Yes
au80551,Geralda Streader,FL,Galaxy,yes,no,IT,Software Development,182500,27,0,280.2,314.3,14.3,2,124,Oct,W43,89,Yes
av60461,Vere Beall,NY,-,no,yes,IT,Software Development,147900,14,2,260.7,161.3,11.4,3,130,Sep,W37,127,Yes
aw10961,Seana Ainsbury,FL,-,no,no,IT,Software Development,101250,24,0,223,287.7,12.2,4,151,Mar,W13,120,Yes
aw16262,Stavros Flaxman,AL,-,no,no,IT,Software Development,195750,7,1,247.1,77.9,13.2,4,102,Oct,W41,114,Yes
aw45853,Storm Yerby,CA,Galaxy,no,no,IT,Software Development,149200,17,4,245.2,205.1,17.8,3,93,Oct,W42,89,Yes
aw48724,Nelly Liverock,DC,-,no,no,IT,Software Development,151900,23,2,245.9,271,16.4,5,111,Jun,W23,118,Yes
aw53164,Sig Penticost,UT,Galaxy,no,yes,IT,Software Development,230800,18,1,121.1,216.3,11.7,4,141,Sep,W38,90,Yes
ax33033,Debra Markushkin,SC,-,no,no,IT,Software Development,148000,8,2,211.6,99.1,7.7,2,133,Jun,W25,105,Yes
ax50542,Edgardo Erington,HI,iPhone,no,no,IT,Software Development,167700,26,1,171,305.8,6.7,6,96,May,W19,94,Yes
ay95772,Alexia Pitblado,NH,-,yes,yes,IT,Software Development,162450,13,0,227.8,149.6,9.8,3,135,Nov,W44,113,Yes
az11137,Rivalee Tidcomb,NM,iPhone,yes,no,IT,Software Development,114050,19,2,122.4,227.3,8.5,2,147,Nov,W48,88,Yes
az59568,Deina Colvie,MA,-,no,no,IT,Software Development,89750,22,0,213.1,258.2,8.7,3,144,Mar,W12,133,Yes
az72524,Mendy Doerren,GA,Galaxy,yes,no,IT,Software Development,108050,15,1,194.6,172.1,12.1,3,131,Jul,W30,92,Yes
ba19696,Florry Dallman,WY,-,no,no,IT,Software Development,156050,10,1,215.1,120.7,12.7,2,113,Nov,W45,137,Yes
ba85596,Judy Drewry,MD,Galaxy,yes,no,IT,Software Development,98100,18,1,239.9,217.4,13.1,4,93,Jun,W23,94,Yes
bd18949,Tate Rudinger,SC,-,yes,no,IT,Software Development,127600,23,1,178.4,264.7,5.8,4,118,Nov,W48,112,Yes
be74397,Ollie McLaren,CO,Galaxy,yes,no,IT,Software Development,130500,16,5,256.5,194,10.2,7,88,Dec,W50,87,Yes
bf97017,Celinda Calderhead,ID,Galaxy,no,no,IT,Software Development,144950,24,1,162.5,277.5,12.2,6,103,Oct,W42,89,Yes
bg26703,Christiano Sabie,AZ,Galaxy,no,no,IT,Software Development,127650,16,1,212.5,185.7,12.1,2,113,Feb,W07,73,Yes
bg41759,Calla Mills,OH,iPhone,yes,no,IT,Software Development,155450,25,0,142.3,292.4,11.5,4,83,Jun,W25,56,Yes
bg45192,Sib Fennessy,WV,-,no,no,IT,Software Development,148250,13,0,136.5,156.3,10.2,5,113,Dec,W51,124,Yes
bh44126,Tristan Chalcroft,WY,-,no,no,IT,Software Development,146550,20,0,228.2,230.5,11,5,115,Dec,W51,136,Yes
bi27501,Margalo Sowden,FL,-,yes,no,IT,Software Development,164400,20,5,248.1,240.6,11.4,3,146,Aug,W32,116,Yes
bi75941,Roselle Lyte,GA,Galaxy,no,no,IT,Software Development,184350,18,3,179.8,211,11.4,5,130,Jun,W23,81,Yes
bj19484,Perice Ewells,CA,-,yes,no,IT,Software Development,78900,23,1,167.1,271.2,5.8,7,130,Oct,W43,101,Yes
bj39494,Pennie Jurkowski,AK,Galaxy,no,no,IT,Software Development,135400,11,1,261.9,125.9,11.1,5,90,Jun,W25,69,Yes
bj41198,Cchaddie McKinnon,WI,-,no,no,IT,Software Development,86700,23,1,148.2,270.2,10.7,3,154,Jan,W05,98,Yes
bl23310,Orlando Aimeric,AL,iPhone,no,no,IT,Software Development,178750,17,1,221.6,195.8,11.2,7,91,Jun,W24,69,Yes
bl81793,Andree Verriour,NY,Galaxy,no,no,IT,Software Development,200200,22,2,103.1,257.2,11.5,4,145,Mar,W10,84,Yes
bm50969,Woodman Mattingley,OR,-,no,no,IT,Software Development,163100,18,1,272,206.9,12.6,2,142,Jan,W02,111,Yes
bm90507,Annaliese Blaymires,KY,-,no,no,IT,Software Development,187000,18,2,168.4,207.7,12.1,3,91,Jun,W22,118,Yes
bn32986,Farah Cozins,MA,-,no,no,IT,Software Development,187350,18,2,259.3,211.2,13.6,8,94,Aug,W32,104,Yes
bn48341,Zandra Huckster,IN,iPhone,yes,no,IT,Software Development,155650,13,1,350.2,147.4,11.3,7,104,Aug,W33,91,Yes
bo78195,Julie Murrum,MN,-,yes,no,IT,Software Development,130200,22,1,135,263.3,11.9,7,125,Aug,W35,115,Yes
bo90498,Terri-jo Domleo,NC,Galaxy,no,no,IT,Software Development,223050,17,2,146.5,194.6,8.3,6,128,May,W20,58,Yes
bp65108,Hillier Armytage,KY,-,no,no,IT,Software Development,150600,12,4,314.1,142.6,12.7,2,75,Mar,W13,96,Yes
bp75185,Sandy Herkess,RI,-,yes,no,IT,Software Development,180100,18,0,238.5,215.1,9.4,2,135,Oct,W43,113,Yes
br93924,Cathryn Kitney,GA,-,no,no,IT,Software Development,127400,22,2,212.7,256.1,13.3,13,125,Jan,W04,98,Yes
br97813,Audie Peascod,VT,-,no,no,IT,Software Development,118900,19,2,240.8,223.6,12.7,4,111,Mar,W12,120,Yes
bs72450,Blane Guilloux,MO,Galaxy,no,no,IT,Software Development,188000,18,4,291.8,213.6,11.9,3,119,Apr,W17,83,Yes
bs77247,Lizbeth Tournie,NH,-,no,no,IT,Software Development,192200,17,1,246.2,201.5,10.3,5,122,Mar,W11,109,Yes
bt55225,Inessa Genn,MI,iPhone,no,no,IT,Software Development,87200,21,2,170.5,246,9.1,4,92,Jul,W30,92,Yes
bu36821,Odessa De Castri,FL,-,no,no,IT,Software Development,124450,15,1,212.6,176.6,7.8,5,128,Sep,W39,126,Yes
bu75895,Suzanna Noden,TX,-,no,no,IT,Software Development,170250,17,4,206.1,201.2,7.1,1,117,Dec,W50,99,Yes
bu90053,Angelina Pregel,MD,-,yes,yes,IT,Software Development,149200,18,1,294.8,210.6,6.9,5,75,Jul,W29,141,Yes
bu91419,Dunstan Dellenbroker,AZ,-,yes,no,IT,Software Development,173850,12,2,205,139.6,8.6,5,136,Apr,W15,95,Yes
bv15939,Meta La Croce,NM,Galaxy,no,no,IT,Software Development,136100,22,2,270,256.7,7,1,135,Sep,W40,90,Yes
bx67593,Efrem Perroni,OH,-,yes,no,IT,Software Development,229850,21,1,108.9,245.1,15.4,7,125,Sep,W36,103,Yes
bx85718,Jude Crang,WA,Galaxy,no,no,IT,Software Development,195850,22,1,107.3,257.4,8.5,3,95,Jul,W30,68,Yes
by11070,Silvano Jeavons,IA,iPhone,no,no,IT,Software Development,135000,23,1,270,264.8,7.6,7,106,Sep,W39,78,Yes
by52443,Ailsun Jellis,AL,-,no,no,IT,Software Development,93000,18,0,135,207.5,11.6,5,126,May,W20,94,Yes
by69827,Clemente Icom,IL,-,no,no,IT,Software Development,132500,22,3,262.9,256.1,11.7,3,112,Jan,W04,98,Yes
by98716,Raeann Lambersen,KS,iPhone,no,no,IT,Software Development,176450,21,2,191.6,251.6,10.9,6,138,Apr,W15,71,Yes
bz41995,Allistir Maytum,AZ,-,yes,no,IT,Software Development,142450,10,1,246.9,113,12.2,6,133,May,W20,143,Yes
bz57381,Ediva Breeds,WA,-,no,no,IT,Software Development,129350,12,0,185.9,137.2,9.8,3,117,Jun,W26,117,Yes
bz89280,Dorris Hamstead,TX,-,no,no,IT,Software Development,143750,14,3,244.9,169.9,9.9,10,117,Mar,W13,108,Yes
bz97707,Deidre Gowland,ID,-,yes,no,IT,Software Development,189150,15,1,377.5,171.5,9.7,2,109,Apr,W14,108,Yes
ca16726,Cindelyn Dunning,NY,-,yes,no,IT,Software Development,138550,27,1,200,312.8,11.6,5,133,Jan,W01,111,Yes
cc44478,Kaitlin Mee,HI,-,no,no,IT,Software Development,154200,22,1,112.3,253.8,11.6,6,69,Dec,W51,111,Yes
cd14770,Fanni Tomkin,OH,-,no,no,IT,Software Development,164050,8,1,172.8,89.8,15.3,3,114,Nov,W46,100,Yes
cd34176,Gelya Keneforde,KY,-,no,no,IT,Software Development,141550,18,1,257.2,210.2,9.9,5,122,Mar,W14,132,Yes
cd50157,Kamilah Orsman,MO,iPhone,yes,no,IT,Software Development,130900,14,1,270,165.8,10.8,5,112,Sep,W38,78,Yes
cd81480,Jaine Wressell,NE,-,yes,no,IT,Software Development,120000,14,1,274.4,167.7,11.4,2,109,Dec,W51,99,Yes
ce19774,Otho Rouse,TN,-,yes,no,IT,Software Development,120600,19,0,195.1,228.9,8.7,5,117,Apr,W17,95,Yes
ce20227,Rebeca Busson,WA,iPhone,yes,no,IT,Software Development,125900,14,2,214.1,169.5,6.2,5,103,Oct,W43,77,Yes
cf53738,Dukey Cundy,MN,-,yes,no,IT,Software Development,201800,15,3,210.3,175.9,9.2,3,108,Mar,W12,108,Yes
cg10779,Bing De Matteis,ND,-,yes,no,IT,Software Development,107000,17,1,252.7,196.4,10.3,4,117,Jul,W27,105,Yes
cg13298,Cesar Ruslin,PA,-,no,no,IT,Software Development,124550,14,0,238.8,169.9,8.2,5,140,Nov,W48,124,Yes
cg32976,Scot Oret,OR,-,no,no,IT,Software Development,165250,16,3,223.3,186.7,10.8,5,110,Feb,W06,98,Yes
cg57507,Blair Eyrl,WY,iPhone,no,no,IT,Software Development,109500,18,1,202.1,208.7,14,7,108,Apr,W15,83,Yes
cg88317,Nick Caveney,VA,-,yes,no,IT,Software Development,133950,21,0,259.2,247,13.7,2,111,Mar,W10,133,Yes
ci46760,Harrison Metrick,RI,-,yes,no,IT,Software Development,183200,14,2,128.3,161.9,8.8,5,92,Mar,W12,133,Yes
ci92387,Francesca Cuberley,SC,Galaxy,no,no,IT,Software Development,172800,12,0,200.7,141.9,8.5,6,102,Mar,W13,47,Yes
cj21861,Nessy Ironside,NV,-,no,no,IT,Software Development,145700,10,3,224.5,115.2,17,4,143,Mar,W10,121,Yes
cj44180,Allianora Guilayn,NH,-,no,no,IT,Software Development,216150,7,2,153.2,78.9,11.8,2,119,Jul,W29,117,Yes
cj60451,Foster Outibridge,MD,Galaxy,yes,no,IT,Software Development,168400,15,1,180.5,177,6.8,6,101,Oct,W42,89,Yes
cj69272,Laurice Fifield,AL,-,yes,no,IT,Software Development,261800,21,1,152.9,247.8,7.4,3,143,Sep,W38,127,Yes
ck63238,Wye Ewles,MT,-,yes,no,IT,Software Development,99950,17,1,157.4,196.3,6.4,3,141,Nov,W45,100,Yes
ck87901,Lanna MacAfee,OH,-,yes,no,IT,Software Development,187100,23,0,146.5,268.2,11.1,3,148,Apr,W16,132,Yes
cl14926,Dorie Alben,CA,iPhone,no,no,IT,Software Development,162450,11,0,207.5,129.2,12.9,1,128,Mar,W11,72,Yes
cl49779,Pembroke Meadley,MN,-,no,no,IT,Software Development,126800,22,1,201,260.7,8.1,2,131,Dec,W50,99,Yes
cl54767,Kath Sainte Paul,UT,Galaxy,yes,no,IT,Software Development,197950,13,1,344.3,152.1,10.7,6,109,Jun,W24,93,Yes
cm14597,Octavia Watsam,NY,-,no,no,IT,Software Development,123750,20,1,181.5,230.9,11.4,7,102,Jun,W23,106,Yes
cn43524,Jackie Foulstone,TN,Galaxy,no,no,IT,Software Development,106500,14,1,260.6,167.6,8.4,4,136,Dec,W49,88,Yes
cn75306,Ronny Mont,SD,iPhone,yes,no,IT,Software Development,120950,17,1,239.3,194.8,16,6,94,Nov,W47,76,Yes
cn92393,Marijn Suermeier,FL,-,yes,no,IT,Software Development,241300,16,1,196.3,192,10,4,124,Oct,W43,101,Yes
cp66992,Amandi Ogglebie,HI,-,yes,no,IT,Software Development,131400,21,1,148.6,245.6,9.1,4,121,Apr,W17,132,Yes
cp73284,Lynea Van De Cappelle,TX,-,no,no,IT,Software Development,187950,14,4,161.8,160.2,8.4,3,155,Nov,W48,137,Yes
cp93213,Malory Arnaut,GA,-,yes,no,IT,Software Development,170100,16,0,205.1,188.9,15.5,4,137,Dec,W50,112,Yes
cq67486,Herminia Leatherborrow,WY,iPhone,yes,no,IT,Software Development,193400,20,1,166.4,234.9,9,13,86,Mar,W10,85,Yes
cr12506,Tove Wyldbore,IA,iPhone,no,no,IT,Software Development,184300,16,0,187.5,190.8,11,9,129,Oct,W43,89,Yes
cr21589,Kellby Koschek,FL,iPhone,no,no,IT,Software Development,176050,17,1,194.2,200.1,12.4,2,130,Feb,W06,73,Yes
cr46630,Arvin Ansill,ID,-,no,no,IT,Software Development,187950,15,1,202.7,178.6,7.4,3,63,Feb,W08,109,Yes
cs32330,Brunhilde Careless,MT,Galaxy,yes,no,IT,Software Development,122850,22,2,226.5,262.3,12,7,116,Jan,W01,38,Yes
cs58706,Doralin Lemonby,GA,-,no,no,IT,Software Development,206650,20,2,180.9,231.4,7.8,4,123,Mar,W13,108,Yes
ct16406,Yves Dumbleton,IL,-,no,no,IT,Software Development,149000,12,0,160.2,144.3,11.8,5,102,Feb,W09,109,Yes
cu22488,Dore Aspinell,WI,-,yes,no,IT,Software Development,207650,27,0,166.8,322.3,10.6,6,104,Apr,W18,144,Yes
cu34675,Reagen Tomaino,MD,-,no,no,IT,Software Development,66450,22,1,255,253.4,18,3,123,May,W21,131,Yes
cu83934,Dimitry Heaysman,NV,Galaxy,no,no,IT,Software Development,120100,13,1,210.6,154.3,8.2,5,110,Dec,W53,75,Yes
cu85680,Joanna McGahey,MD,Galaxy,no,yes,IT,Software Development,90600,13,2,235.8,147.4,9.6,8,104,Aug,W34,79,Yes
cv31296,Willa Ivanets,MD,iPhone,yes,no,IT,Software Development,173850,11,2,190.1,132.8,14.8,9,128,May,W22,82,Yes
cv46424,Meade Baggot,WV,-,no,no,IT,Software Development,115950,17,3,230.7,202.5,11.5,1,125,Apr,W16,107,Yes
cv98503,Hubert O'Hartigan,MS,-,no,no,IT,Software Development,135600,10,2,173.9,119.7,6.8,3,164,Sep,W38,102,Yes
cx20089,Wilek Jaggers,ME,-,no,no,IT,Software Development,189050,16,2,237.7,185.8,12,8,104,Jun,W25,105,Yes
cx95233,Diana Woltman,UT,Galaxy,no,yes,IT,Software Development,123500,26,0,206.1,303.8,8.9,4,108,Jul,W28,92,Yes
cy29275,Felicle Spittal,MA,-,no,no,IT,Software Development,147800,24,1,204.8,287.4,9.1,7,120,Sep,W36,115,Yes
cz18069,Tobe Campling,OH,Galaxy,yes,no,IT,Software Development,182000,17,0,246.8,200.9,9.2,6,126,Oct,W40,65,Yes
cz22827,Benito Cordle,AR,iPhone,no,no,IT,Software Development,131400,22,1,367.7,263,15.5,2,99,Apr,W16,59,Yes
cz25699,Brandon Harback,ME,-,no,no,IT,Software Development,183200,19,4,207.1,218.7,6.6,9,132,Mar,W14,132,Yes
cz41575,Andrew Francis,MN,Galaxy,yes,no,IT,Software Development,148250,14,1,201.6,169.9,11,4,95,Sep,W36,78,Yes
cz54787,Lura Krink,TN,Galaxy,yes,no,IT,Software Development,236550,8,0,107.6,93.4,9.7,5,158,Jul,W29,92,Yes
cz64772,Priscilla Savery,KY,Galaxy,yes,no,IT,Software Development,89500,17,2,187.5,197.4,8.6,6,124,Feb,W06,85,Yes
db13420,Vinni Belz,WA,iPhone,no,no,IT,Software Development,124700,17,1,203.4,203.5,13.7,3,93,May,W22,94,Yes
dc62843,Whitby Cargon,PA,Galaxy,no,no,IT,Software Development,86800,19,0,73.7,219.5,9.8,5,112,Sep,W36,78,Yes
dd45175,Arleen Peter,NY,-,no,no,IT,Software Development,224400,11,3,177.7,132.2,10.6,8,90,Dec,W50,112,Yes
dd63751,Koralle Yarwood,RI,-,no,no,IT,Software Development,205450,14,2,169.8,168.5,11.1,2,148,May,W19,119,Yes
dd81915,Jasun Ducroe,OK,-,no,no,IT,Software Development,194900,15,1,189.3,177.4,12,8,141,May,W20,106,Yes
dd84707,Angelita Carlisso,PA,-,no,no,IT,Software Development,122850,15,2,226,180.5,17,6,100,Jan,W03,110,Yes
dd84826,Bern Waller-Bridge,IN,-,no,no,IT,Software Development,255350,11,2,197.4,133.2,7.2,5,118,Feb,W07,97,Yes
de11833,Berny Bellward,VA,-,no,no,IT,Software Development,145850,17,0,170.6,205,13.8,4,122,Jan,W02,123,Yes
de33297,Kameko Gounet,MS,-,no,no,IT,Software Development,64000,15,1,193.8,179.9,12.3,1,128,Dec,W52,99,Yes
de61597,Barthel Payze,MI,Galaxy,no,no,IT,Software Development,205850,20,3,188.5,233.2,6.2,6,104,Aug,W34,91,Yes
de81766,Dyan Stains,MI,-,no,no,IT,Software Development,116800,20,3,206.7,237.6,14,11,64,Nov,W46,112,Yes
de87110,Wanda Laurand,IN,-,no,no,IT,Software Development,177550,21,0,280.2,252.4,12.8,7,147,Jan,W01,123,Yes
df11085,Kendell Spowart,MO,-,no,no,IT,Software Development,172050,20,3,202,230.7,10.2,2,130,May,W20,119,Yes
df19736,Melissa Artharg,DC,Galaxy,no,no,IT,Software Development,70550,15,0,245.7,177,13,3,121,Aug,W32,67,Yes
df22244,Gery Kyne,KY,-,no,no,IT,Software Development,80650,22,2,175.1,253.2,14.2,2,98,Nov,W48,124,Yes
dg71329,Iorgo Lapham,VA,iPhone,yes,no,IT,Software Development,38150,11,1,168.4,134.2,13.3,3,97,Sep,W37,66,Yes
dh29181,Zelda Issatt,MD,Galaxy,no,no,IT,Software Development,110100,30,1,145.5,354.2,10.9,3,133,Apr,W15,59,Yes
dh67601,Boyce Dobbing,VA,-,no,no,IT,Software Development,213350,8,3,142.2,91.2,13.8,3,111,Jan,W02,123,Yes
di11885,Barney Fearenside,MD,iPhone,no,no,IT,Software Development,167050,21,0,143.2,241.3,4,7,138,Jul,W28,92,Yes
dm38832,Carena Paye,TX,iPhone,no,no,IT,Software Development,153450,11,2,170.7,134.7,10,3,117,Aug,W33,91,Yes
dq34314,Flori Shimmin,DE,-,yes,no,IT,Software Development,149450,18,2,178,206.6,11.1,2,99,Dec,W50,99,Yes
dq59651,Arlyne MacNeill,IN,-,yes,no,IT,Software Development,211500,12,3,263.6,140.3,10.3,2,92,Aug,W33,128,Yes
dr36654,Cristen McCreedy,DE,-,no,no,IT,Software Development,217750,14,4,249.4,160.7,7.4,2,117,Mar,W13,108,Yes
dr64710,Skye Ianni,MT,Galaxy,no,no,IT,Help Desk Support,114150,13,3,102.1,155.5,14.7,4,115,Nov,W45,76,Yes
ds30988,Bernelle Ranklin,OR,Galaxy,no,no,IT,Help Desk Support,142400,21,2,101.2,242.1,11.4,4,107,Aug,W35,79,Yes
ds90043,Ashlen Leedal,IA,-,yes,no,IT,Help Desk Support,148250,17,1,127.4,196.7,11.8,3,115,Dec,W50,112,Yes
dt27750,Sal Batts,MS,Galaxy,yes,no,IT,Help Desk Support,136000,16,1,208.3,184.5,6.1,10,134,Dec,W49,75,Yes
du36342,Simmonds Jarrelt,NM,-,no,no,IT,Help Desk Support,127600,17,2,266.7,200.1,11,3,100,Dec,W53,123,Yes
du41485,Tania Kissick,LA,-,no,no,IT,Help Desk Support,180200,3,3,293.3,31.2,12.6,10,130,Nov,W48,124,Yes
du94053,Kerwin Jozefczak,NJ,-,no,no,IT,Help Desk Support,162700,17,1,230.1,200.7,8.2,3,131,Aug,W32,128,Yes
dv11250,Kissie Gladbeck,OR,-,yes,no,IT,Help Desk Support,82050,12,1,174.4,145.8,9.4,2,124,Nov,W48,112,Yes
dv65630,Malinda Innerstone,MA,-,no,no,IT,Help Desk Support,98950,8,3,181.5,95.6,10.5,3,89,Oct,W41,102,Yes
dx19348,Gorden Peppard,NV,iPhone,no,no,IT,Help Desk Support,114650,13,1,197.5,156,10.2,5,167,Jan,W04,61,Yes
dy39898,Giacomo Giddings,WI,-,yes,yes,IT,Help Desk Support,208150,19,4,210.8,219.6,9.7,6,120,Feb,W06,122,Yes
ea43117,Pearle Beaby,MI,-,no,no,IT,Help Desk Support,130500,17,2,198.5,197.6,6.3,2,117,Sep,W38,102,Yes
ea44931,Xavier Diwell,MA,-,no,no,IT,Help Desk Support,155650,14,1,311.8,160.1,7,3,122,Sep,W39,102,Yes
eb55161,Neille Deabill,KS,-,no,no,IT,Help Desk Support,138650,21,1,168.2,249.4,9,10,66,Jan,W02,123,Yes
ec46823,Kora Tuminini,KS,-,no,no,IT,Help Desk Support,22950,14,3,279.5,160.9,10.7,3,112,Mar,W12,120,Yes
ec69871,Homer McGirr,WY,iPhone,yes,no,IT,Help Desk Support,106400,15,1,232.4,177.8,12.9,3,120,May,W19,82,Yes
ec80136,Humbert Fetter,OH,Galaxy,no,no,IT,Help Desk Support,178000,23,0,150.2,273.8,12.8,1,104,May,W23,69,Yes
ed58702,Auberon Leavy,OH,-,no,no,IT,Help Desk Support,172300,19,0,253.9,224.9,12.1,7,105,Mar,W09,109,Yes
ed96253,Gale Jaggli,UT,Galaxy,no,no,IT,Help Desk Support,172200,14,0,268.1,163,8.3,3,111,Jul,W30,92,Yes
ef31127,Suellen Cowe,FL,Galaxy,no,no,IT,Help Desk Support,78700,15,3,159.8,177.6,14.4,4,107,Nov,W45,88,Yes
ef43579,Leandra Khomich,ME,iPhone,no,no,IT,Help Desk Support,189700,18,3,154.4,214.4,10.1,2,146,Aug,W34,79,Yes
ef72863,Gerianna Pickover,MO,-,no,no,IT,Help Desk Support,209800,16,1,154.5,187.8,12.6,5,136,Mar,W12,133,Yes
eg26898,Lion Van Der Weedenburg,WV,-,yes,no,IT,Help Desk Support,120350,18,0,203.6,207.9,10.2,11,145,Jan,W01,99,Yes
